"filename", "language", "Markdown", "Java", "comment", "blank", "total"
"c:\JavaProjects\Sudoku\README.md", "Markdown", 2, 0, 0, 0, 2
"c:\JavaProjects\Sudoku\src\sudoku\GameBoardPanel.java", "Java", 0, 3, -3, 5, 5
"Total", "-", 2, 3, -3, 5, 7
