"filename", "language", "Java", "comment", "blank", "total"
"c:\JavaProjects\Sudoku\src\sudoku\Cell.java", "Java", 2, 0, 0, 2
"c:\JavaProjects\Sudoku\src\sudoku\GameBoardPanel.java", "Java", -7, 0, 0, -7
"Total", "-", -5, 0, 0, -5
